timestamp,device_id,building,floor,room,sensor_type,event_type,value,status,battery_level
2026-04-10T08:00:00Z,D0282,Science,1,R118,energy,reading,4.49,OK,71
2026-04-10T08:00:08Z,D0308,Science,1,R125,air_quality,calibration,926.4,OK,51
2026-04-10T08:00:08Z,D0449,Arts,1,R105,temperature,reading,22.5,WARNING,72
2026-04-10T08:00:12Z,D0230,Science,2,R210,temperature,calibration,29.9,WARNING,14
2026-04-10T08:01:08Z,D0381,Business,2,R229,energy,reading,6.45,WARNING,65
2026-04-10T08:01:05Z,D0408,Business,1,R125,door,open,0,OK,55
2026-04-10T08:00:48Z,D0301,Science,4,R404,door,access,0,OK,83
2026-04-10T08:01:17Z,D0269,Science,3,R308,motion,presence,1,OK,74
2026-04-10T08:02:24Z,D0303,Science,3,R317,door,open,1,OK,89
2026-04-10T08:02:33Z,D0177,Engineering,4,R414,energy,reading,8.08,OK,42
2026-04-10T08:00:50Z,D0304,Science,4,R415,door,close,0,OK,35
2026-04-10T08:01:28Z,D0306,Science,3,R320,door,open,0,OK,61
2026-04-10T08:01:24Z,D0206,Engineering,5,R529,air_quality,reading,656.8,OK,48
2026-04-10T08:03:02Z,D0587,SportsCentre,2,R206,motion,presence,0,OK,49
2026-04-10T08:01:10Z,D0627,SportsCentre,1,R103,door,access,1,OK,76
2026-04-10T08:04:00Z,D0539,Arts,3,R305,air_quality,calibration,412.7,OK,38
2026-04-10T08:01:20Z,D0325,Business,3,R305,temperature,reading,19.6,OK,60
2026-04-10T08:05:40Z,D0001,Library,1,R101,temperature,reading,37.5,OK,62
2026-04-10T08:01:48Z,D0057,Library,1,R103,energy,reading,2.11,OK,87
2026-04-10T08:03:10Z,D0230,Science,2,R210,temperature,reading,28.6,OK,10
2026-04-10T08:03:00Z,D0257,Science,1,R110,motion,reading,0,OK,55
2026-04-10T08:04:12Z,D0641,SportsCentre,2,R203,air_quality,calibration,894.8,OK,81
2026-04-10T08:02:34Z,D0607,SportsCentre,2,R204,energy,usage,10.84,OK,55
2026-04-10T08:01:32Z,D0346,Business,2,R212,humidity,reading,32.0,OK,72
2026-04-10T08:04:24Z,D0309,Science,1,R125,air_quality,calibration,704.1,OK,49
2026-04-10T08:01:15Z,D0307,Science,1,R103,air_quality,calibration,596.2,OK,53
2026-04-10T08:07:48Z,D0310,Science,4,R417,air_quality,calibration,695.2,OK,76
2026-04-10T08:02:15Z,D0465,Arts,2,R217,humidity,calibration,48.7,WARNING,83
2026-04-10T08:04:12Z,D0476,Arts,1,R114,motion,reading,1,OK,34
2026-04-10T08:06:46Z,D0314,Science,3,R322,air_quality,reading,787.7,OK,36
2026-04-10T08:06:30Z,D0109,Engineering,1,R118,temperature,reading,23.6,OK,47
2026-04-10T08:03:06Z,D0145,Engineering,2,R208,motion,reading,1,OK,20
2026-04-10T08:04:16Z,D0255,Science,4,R421,motion,presence,1,OK,92
2026-04-10T08:04:24Z,D0195,Engineering,1,R105,door,close,1,OK,43
2026-04-10T08:06:48Z,D0103,Library,3,R330,air_quality,reading,779.6,ERROR,57
2026-04-10T08:08:10Z,D0221,Science,4,R401,temperature,calibration,25.5,WARNING,5
2026-04-10T08:10:48Z,D0006,Library,2,R208,temperature,reading,37.4,OK,85
2026-04-10T08:08:38Z,D0307,Science,1,R103,air_quality,reading,690.5,OK,58
2026-04-10T08:12:40Z,D0584,SportsCentre,1,R112,motion,reading,0,OK,76
2026-04-10T08:12:21Z,D0396,Business,3,R309,energy,reading,9.94,OK,41
2026-04-10T08:04:00Z,D0639,SportsCentre,2,R212,air_quality,reading,667.2,OK,85
2026-04-10T08:13:40Z,D0348,Business,2,R215,humidity,reading,57.1,OK,63
2026-04-10T08:13:18Z,D0412,Business,3,R304,door,open,1,WARNING,75
2026-04-10T08:12:54Z,D0311,Science,3,R306,air_quality,calibration,1109.2,OK,80
2026-04-10T08:09:32Z,D0144,Engineering,4,R412,humidity,calibration,74.6,OK,65
2026-04-10T08:09:00Z,D0305,Science,1,R129,door,access,1,OK,81
2026-04-10T08:09:12Z,D0303,Science,3,R317,door,close,1,OK,93
2026-04-10T08:04:42Z,D0312,Science,4,R403,air_quality,calibration,1091.3,OK,83
2026-04-10T08:02:24Z,D0645,SportsCentre,2,R215,air_quality,calibration,1015.5,OK,80
2026-04-10T08:08:10Z,D0312,Science,4,R403,air_quality,reading,494.9,WARNING,88
2026-04-10T08:12:30Z,D0645,SportsCentre,2,R215,air_quality,reading,376.8,OK,73
2026-04-10T08:05:06Z,D0228,Science,4,R423,temperature,reading,23.2,WARNING,8
2026-04-10T08:07:48Z,D0423,Business,3,R305,air_quality,calibration,1132.4,OK,72
2026-04-10T08:03:32Z,D0106,Library,2,R222,air_quality,reading,826.8,ERROR,66
2026-04-10T08:17:06Z,D0490,Arts,3,R325,energy,reading,5.62,OK,26
2026-04-10T08:11:55Z,D0546,SportsCentre,2,R217,temperature,reading,25.6,OK,34
2026-04-10T08:09:20Z,D0197,Engineering,2,R203,door,open,1,OK,74
2026-04-10T08:11:24Z,D0307,Science,1,R103,air_quality,calibration,765.7,OK,57
2026-04-10T08:13:32Z,D0492,Arts,1,R106,energy,usage,3.43,OK,59
2026-04-10T08:19:40Z,D0125,Engineering,3,R325,temperature,calibration,28.2,OK,39
2026-04-10T08:07:00Z,D0235,Science,1,R126,humidity,reading,45.6,WARNING,9
2026-04-10T08:11:11Z,D0453,Arts,2,R217,humidity,reading,67.3,OK,56
2026-04-10T08:20:40Z,D0278,Science,1,R127,energy,reading,7.46,OK,36
2026-04-10T08:10:30Z,D0601,SportsCentre,2,R226,energy,usage,2.86,WARNING,38
2026-04-10T08:04:16Z,D0239,Science,4,R404,humidity,calibration,34.5,OK,73
2026-04-10T08:07:35Z,D0307,Science,1,R103,air_quality,reading,695.9,OK,46
2026-04-10T08:19:48Z,D0230,Science,2,R210,temperature,reading,22.0,OK,12
2026-04-10T08:04:28Z,D0314,Science,3,R322,air_quality,calibration,547.4,WARNING,42
2026-04-10T08:04:32Z,D0304,Science,4,R415,door,open,0,OK,29
2026-04-10T08:17:15Z,D0009,Library,3,R326,temperature,reading,18.1,OK,29
2026-04-10T08:07:00Z,D0582,SportsCentre,2,R208,motion,presence,1,OK,90
2026-04-10T08:08:17Z,D0103,Library,3,R330,air_quality,reading,513.9,OK,63
2026-04-10T08:15:36Z,D0116,Engineering,3,R330,temperature,reading,27.0,OK,32
2026-04-10T08:15:49Z,D0015,Library,3,R326,temperature,reading,20.2,OK,34
2026-04-10T08:18:30Z,D0009,Library,3,R326,temperature,reading,36.2,OK,30
2026-04-10T08:08:45Z,D0190,Engineering,2,R227,door,open,0,OK,59
2026-04-10T08:19:00Z,D0268,Science,3,R304,motion,reading,1,OK,44
2026-04-10T08:03:51Z,D0310,Science,4,R417,air_quality,calibration,550.9,OK,77
2026-04-10T08:07:48Z,D0306,Science,3,R320,door,close,1,OK,56
2026-04-10T08:07:54Z,D0314,Science,3,R322,air_quality,reading,662.4,OK,40
2026-04-10T08:13:20Z,D0227,Science,1,R119,temperature,calibration,27.3,OK,7
2026-04-10T08:18:54Z,D0621,SportsCentre,2,R226,door,close,0,OK,31
2026-04-10T08:13:40Z,D0313,Science,3,R314,air_quality,reading,796.7,OK,69
2026-04-10T08:19:22Z,D0541,SportsCentre,2,R225,temperature,reading,18.8,OK,75
